,id,ost,branche,filter,gruend,zusamm,zusamm10,geschl,geschl10,absatz,um,ex,exno,bges,pd,pz,pa,pn,pdentw,umneu,umunw,mneu,mneup,pzentw,rek,rekp,iafetz,iafue,iavfetz,iavfue,iamstz,iams,iaewtz,iaew,iawstz,iamatz,iapgtz,iasotz,iaso,iages,iainv,iagese,iagesep,fue,fuekon,fuebab,fuebso,inaus1,inaus2,inaus3,inaus4,inaus5,inaus6,inaus7,inaus8,inaus9,oeff,foeinf1,foeinf2,foeinf3,foeinf4,foeinf5,foeinf6,foeinf7,foeinf8,foeinf9,foeinf10,foeinf11,foeprtz1,foeprtz2,foeprtz3,foeprtz4,foeprtz5,foepr1,foepr2,foepr3,foepr4,foepr5,foezw1,foezw2,foezw3,foezw4,foezw5,foeaus1,foeaus2,foeaus3,foeaus4,foeaus5,foeaus6,koop,kod1,kod2,kod3,kod4,kod5,kod6,kod7,kod8,koa1,koa2,koa3,koa4,koa5,koa6,koa7,koa8,info1,info2,info3,info4,info5,info6,info7,info8,info9,info10,info11,info12,hema,hemb,hemc,hemd,noin1,noin2,noin3,hemm1,hemm2,hemm3,hemm4,hemm5,hemm6,hemm7,hemm8,hemm9,patent,patok,schutz1,schutz2,schutz3,schutz4,schutz5,schutz6,schutz7,schu1,schu2,schu3,schu4,schu5,schu6,schu7,aktiv1,aktiv2,aktiv3,aktiv4,aktiv5,bhsp,bfsp,bapp,bsop,frauen,senior,bgese,bhse,bgesep,bhsep,bkost,wb,wbno,inv,invno,invi,invino,mkost
0,1.0,ABL,Kunststoff,nein,nein,nein,,nein,,ueberregional,410.08398,40.340275,nein,1664.0662,ja,ja,nein,ja,selbst,,,nein,x=0,1.0,nein,x=0,ja,,ja,,ja,12.774966,ja,,ja,,,1.0,,12.705009,0.0,steigen,10.0,,nie,,,niedrig,niedrig,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,,mittel,niedrig,niedrig,niedrig,niedrig,niedrig,niedrig,niedrig,niedrig,niedrig,,nein,nein,nein,nein,nein,nein,nein,nein,nein,niedrig,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,ja,,,,,,,,ja,nein,nein,ja,ja,5<=x<10,50<=x<75,0<x<5,15<=x<20,3.0,20.0,2.0,2.0,0.0,0.0,78.2935,0.35431057,nein,16.972841,nein,0.0,ja,106.58156
1,2.0,NBL,Sonst.DL,nein,nein,nein,,nein,,ueberregional,41.936646,,,291.87393,nein,nein,ja,nein,,,,nein,x=0,,,,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,0.0,0.0,0.0,,,,0.0,nie,,,nein,nein,nein,,,,,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,nein,nein,nein,hoch,nein,nein,nein,nein,nein,nein,nein,hoch,nein,nein,nein,nein,ja,ja,ja,,,,,,,,,nein,nein,nein,,,,,,,,,,,,,,,ja,nein,ja,nein,ja,0<x<5,50<=x<75,5<=x<10,20<=x<30,89.0,10.0,1.0,2.0,15.0,0.0,,1.5257252,nein,33.270573,nein,21.965809,nein,
2,3.0,ABL,HolzPapier,ja,nein,nein,,nein,,national-lokal,1.8299956,0.0,ja,16.792969,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,nein,ja,nein,nein,nein,nein,niedrig,hoch,niedrig,niedrig,nein,niedrig,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,x=0,15<=x<20,x=0,75<=x<=100,50.0,10.0,2.0,2.0,0.0,0.0,0.5550268,0.0,ja,0.017126912,nein,0.0044352575,nein,0.4061228
3,4.0,ABL,Metall,nein,nein,nein,,nein,,ueberregional,3.0712812,0.0,ja,45.44569,ja,nein,nein,nein,zusammen,75<=x<=100,20<=x<30,ja,75<=x<=100,,,,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,0.0,0.0,0.0,,unbekannt,,0.0,abundzu,1.1398742,1.9187093,mittel,hoch,hoch,hoch,mittel,mittel,niedrig,hoch,hoch,ja,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,ja,,nein,nein,nein,ja,ja,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,niedrig,nein,niedrig,mittel,mittel,mittel,mittel,nein,,nein,nein,nein,nein,,,,mittel,mittel,hoch,niedrig,niedrig,mittel,nein,mittel,mittel,nein,nein,nein,nein,nein,nein,nein,ja,ja,,,,,,,,ja,nein,ja,ja,ja,0<x<5,75<=x<=100,x=0,15<=x<20,10.0,10.0,2.0,2.0,0.0,0.0,1.7622688,0.024825796,nein,0.10249321,nein,0.005050427,nein,
4,5.0,NBL,EDV/Telek,nein,nein,nein,,nein,,ueberregional,1.9012609,0.007331606,nein,22.734161,ja,ja,nein,ja,selbst,75<=x<=100,20<=x<30,ja,5<=x<10,1.0,ja,30<=x<50,ja,0.068998545,nein,0.0,ja,0.0015965874,ja,0.005020711,ja,ja,ja,1.0,0.0114822695,0.09439002,0.084568344,steigen,20.0,0.07597818,staendig,18.106195,4.588386,hoch,mittel,hoch,mittel,mittel,nein,nein,nein,hoch,ja,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,nein,nein,ja,ja,ja,,,mittel,mittel,mittel,nein,nein,ja,nein,,nein,nein,ja,ja,ja,nein,ja,ja,ja,ja,ja,ja,ja,ja,ja,,ja,,ja,,,,,hoch,,mittel,hoch,niedrig,nein,hoch,hoch,hoch,hoch,mittel,hoch,ja,nein,nein,ja,,,,hoch,hoch,hoch,niedrig,nein,nein,nein,mittel,niedrig,nein,nein,nein,nein,nein,ja,ja,ja,ja,,,,hoch,hoch,hoch,hoch,nein,ja,nein,ja,ja,75<=x<=100,5<=x<10,5<=x<10,x=0,40.0,10.0,1.0,1.0,10.0,10.0,0.60137326,0.0012709127,nein,0.002815465,nein,0.0013680225,nein,
5,6.0,ABL,Fahrzeugbau,ja,nein,nein,,nein,,national-lokal,4.129015,,,52.995995,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,nein,ja,nein,mittel,hoch,hoch,niedrig,niedrig,mittel,niedrig,,mittel,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,ja,nein,0<x<5,75<=x<=100,15<=x<20,x=0,10.0,8.0,3.0,2.0,-30.0,0.0,1.8315127,0.0004895781,nein,0.002340032,nein,0.0030742714,nein,1.7518483
6,7.0,ABL,Metall,ja,nein,nein,,nein,,national-lokal,2.3820815,0.0,ja,21.592468,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,0.0,0.0,0.0,0.0,,0.0,0.0,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,nein,ja,nein,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,ja,ja,nein,,,,,,,,,,,1.1073893,0.012124836,nein,0.23868015,nein,0.08400164,nein,0.014394665
7,8.0,NBL,EHandKfz,ja,nein,nein,,nein,,national-lokal,1.8529625,0.0,ja,30.471039,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,ja,ja,ja,mittel,niedrig,nein,niedrig,niedrig,mittel,mittel,hoch,mittel,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,x=0,75<=x<=100,5<=x<10,x=0,83.0,10.0,2.0,2.0,0.0,0.0,0.87591916,0.0034612597,nein,0.09361821,nein,0.0,ja,
8,9.0,ABL,UDL,ja,nein,nein,,nein,,,0.6377585,0.0,ja,7.094128,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,ja,ja,nein,hoch,hoch,hoch,niedrig,hoch,niedrig,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,ja,ja,ja,ja,ja,20<=x<30,50<=x<75,10<=x<15,x=0,40.0,10.0,1.0,2.0,20.0,0.0,0.27515632,0.005011013,nein,0.0078100436,nein,0.005439184,nein,
9,10.0,ABL,Maschinenbau,nein,nein,nein,,nein,,,2.0690837,0.51041883,nein,16.195797,ja,nein,nein,ja,,,,,,,,,ja,0.025947707,nein,0.0,ja,0.020986594,nein,0.0,nein,nein,nein,0.0,0.0,0.052640002,0.049309645,steigen,100.0,0.024598746,staendig,0.78123146,0.0,mittel,mittel,hoch,niedrig,niedrig,niedrig,nein,mittel,mittel,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,hoch,,niedrig,mittel,mittel,nein,nein,nein,nein,nein,hoch,,nein,nein,nein,nein,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,nein,,,mittel,,,,,nein,nein,nein,ja,ja,15<=x<20,50<=x<75,x=0,20<=x<30,2.0,2.0,1.0,2.0,10.0,0.0,0.6991241,0.0024552508,nein,0.05363732,nein,0.02515926,nein,0.9523262
